experiment_id,source,model,experiment_type,train_language,eval_language,task,task_type,test_loss,val_loss,train_time,test_mse,test_rmse,test_r2,val_mse,val_rmse,val_r2,test_accuracy,test_f1,val_accuracy,val_f1
glot500_lm_probe_question_type_ru_to_ar,glot500,lm_probe,cross_lingual,ru,ar,question_type,regression,1.164474904537201,0.2806080937385559,48.57138657569885,,,,,,,,,,
glot500_lm_probe_complexity_ru_to_ar,glot500,lm_probe,cross_lingual,ru,ar,complexity,regression,0.0682308554649353,0.024336296133697033,56.498804569244385,0.06770738959312439,0.26020643649441955,-0.1672452688217163,0.02160707488656044,0.14699345184925905,0.5355230569839478,,,,
glot500_lm_probe_question_type_en_to_ru,glot500,lm_probe,cross_lingual,en,ru,question_type,classification,0.3314152615410941,0.15795647203922272,48.8096399307251,,,,,,,0.9272727272727272,0.9322033898305084,0.9444444444444444,0.9473684210526315
glot500_lm_probe_complexity_en_to_ru,glot500,lm_probe,cross_lingual,en,ru,complexity,regression,0.17479672389371054,0.03582490757107735,48.505112409591675,0.17435850203037262,0.41756257259286617,-3.4102344512939453,0.03637943044304848,0.190733925778946,0.1307436227798462,,,,
glot500_lm_probe_question_type_id_to_ja,glot500,lm_probe,cross_lingual,id,ja,question_type,classification,1.339702844619751,0.3570680171251297,66.50450348854065,,,,,,,0.40217391304347827,0.12698412698412698,0.8611111111111112,0.84375
glot500_lm_probe_complexity_id_to_ja,glot500,lm_probe,cross_lingual,id,ja,complexity,regression,0.07756516772011916,0.022024256736040117,65.23965740203857,0.0786459669470787,0.2804388827304065,-0.5107213258743286,0.020459331572055817,0.14303611981613532,0.5106495022773743,,,,
glot500_lm_probe_question_type_ja_to_fi,glot500,lm_probe,cross_lingual,ja,fi,question_type,classification,0.7758827081748417,0.005798588196436564,80.61751246452332,,,,,,,0.8090909090909091,0.8372093023255814,1.0,1.0
glot500_lm_probe_complexity_ja_to_fi,glot500,lm_probe,cross_lingual,ja,fi,complexity,regression,0.04797690095646041,0.015213956435521444,64.32453513145447,0.04827544838190079,0.21971674579307965,-0.2225654125213623,0.015124274417757988,0.12298078881580646,0.7535057067871094,,,,
glot500_lm_probe_question_type_en_to_fi,glot500,lm_probe,cross_lingual,en,fi,question_type,classification,0.5878466197422573,0.15795647203922272,48.60630393028259,,,,,,,0.7636363636363637,0.8088235294117647,0.9444444444444444,0.9473684210526315
glot500_lm_probe_complexity_en_to_fi,glot500,lm_probe,cross_lingual,en,fi,complexity,regression,0.11138247485671725,0.03582490757107735,48.67692017555237,0.11182496696710587,0.3344024027531888,-1.8319432735443115,0.03637943044304848,0.190733925778946,0.1307436227798462,,,,
