experiment_id,source,model,task_type,is_control,control_index,layer,submetric,language,task,test_loss,test_mse,test_rmse,test_r2,val_loss,val_mse,val_rmse,val_r2,train_time,test_accuracy,test_f1,val_accuracy,val_f1
glot500_layer_mapping,glot500,layer_mapping,regression,False,,,,,,,,,,,,,,,,,,
glot500_lm_probe,glot500,lm_probe,regression,False,2.0,2.0,avg_verb_edges,ru,,,,,,,,,,,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_ko_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,ko,single_submetric,0.024394976773432324,0.024496454745531082,0.15651343311527954,-0.06451404094696045,0.01974910944700241,0.020768025889992714,0.14411115810371075,-0.03189444541931152,43.44392251968384,,,,
glot500_lm_probe_single_submetric_control3_avg_links_len_ko_layer11,glot500,lm_probe,regression,True,3.0,11.0,avg_links_len,ko,single_submetric,0.02129903861454555,0.021428797394037247,0.1463857827592463,0.06879359483718872,0.018462132569402455,0.01971597410738468,0.14041358234652615,0.020378470420837402,54.238967180252075,,,,
glot500_lm_probe_single_submetric_control2_avg_links_len_ko_layer11,glot500,lm_probe,regression,True,2.0,11.0,avg_links_len,ko,single_submetric,0.024866339484495775,0.024979986250400543,0.15805058130358313,-0.0855262279510498,0.020362800266593695,0.02185426652431488,0.14783188602028616,-0.08586621284484863,42.59920835494995,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_fi_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,fi,single_submetric,0.030066406088215963,0.03011392615735531,0.173533645606134,-0.66042160987854,0.023901668842881918,0.023962222039699554,0.1547973579868195,-0.3932318687438965,31.30834650993347,,,,
glot500_lm_probe_single_submetric_control3_avg_links_len_fi_layer11,glot500,lm_probe,regression,True,3.0,11.0,avg_links_len,fi,single_submetric,0.024003344987119948,0.024057071655988693,0.15510342245092046,-0.3264586925506592,0.020022233482450247,0.02005213126540184,0.14160554814484438,-0.16588819026947021,64.3235297203064,,,,
glot500_lm_probe_single_submetric_control2_avg_links_len_fi_layer11,glot500,lm_probe,regression,True,2.0,11.0,avg_links_len,fi,single_submetric,0.025761684935007776,0.0258565042167902,0.16079957778797244,-0.42567574977874756,0.02060909103602171,0.020639104768633842,0.14366316427196585,-0.20001649856567383,73.3659565448761,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_ar_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,ar,single_submetric,0.06530255302786828,0.06347095221281052,0.2519344204605844,-0.37041759490966797,0.0545738705744346,0.05205748230218887,0.22816108849273328,-0.060558438301086426,48.810165882110596,,,,
glot500_lm_probe_single_submetric_control3_avg_links_len_ar_layer11,glot500,lm_probe,regression,True,3.0,11.0,avg_links_len,ar,single_submetric,0.06248052231967449,0.06063958629965782,0.24625106355030799,-0.3092848062515259,0.050572838013370834,0.04809783771634102,0.21931219235678853,0.020110726356506348,70.26399660110474,,,,
glot500_lm_probe_single_submetric_control2_avg_links_len_ar_layer11,glot500,lm_probe,regression,True,2.0,11.0,avg_links_len,ar,single_submetric,0.06713397987186909,0.06519351154565811,0.25533020100579196,-0.40760982036590576,0.05299308275183042,0.05065765604376793,0.2250725572871289,-0.03203999996185303,48.4636766910553,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_ja_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,ja,single_submetric,0.10113010307153066,0.10044180601835251,0.31692555280120993,-1.3622770309448242,0.019462221922973793,0.019862128421664238,0.14093306362122496,-0.11411261558532715,80.66637420654297,,,,
glot500_lm_probe_single_submetric_control3_avg_links_len_ja_layer11,glot500,lm_probe,regression,True,3.0,11.0,avg_links_len,ja,single_submetric,0.1019318662583828,0.1010766252875328,0.3179255027322168,-1.3772072792053223,0.018496813563009102,0.01884157955646515,0.13726463330539718,-0.05686771869659424,31.870758295059204,,,,
glot500_lm_probe_single_submetric_control2_avg_links_len_ja_layer11,glot500,lm_probe,regression,True,2.0,11.0,avg_links_len,ja,single_submetric,0.10170276835560799,0.10072437673807144,0.31737103953900936,-1.3689227104187012,0.01902171814193328,0.01939672790467739,0.13927213613884648,-0.08800733089447021,31.895543336868286,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_en_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,en,single_submetric,0.010569414988692318,0.010470835492014885,0.10232710047692588,-0.12576055526733398,0.014702943991869688,0.014119092375040054,0.11882378707582103,-0.0603640079498291,65.67001390457153,,,,
glot500_lm_probe_single_submetric_control3_avg_links_len_en_layer11,glot500,lm_probe,regression,True,3.0,11.0,avg_links_len,en,single_submetric,0.012759372059788023,0.012585626915097237,0.11218568052606909,-0.3531299829483032,0.015102842077612876,0.014714187942445278,0.12130205250714135,-0.1050565242767334,49.314300537109375,,,,
glot500_lm_probe_single_submetric_control2_avg_links_len_en_layer11,glot500,lm_probe,regression,True,2.0,11.0,avg_links_len,en,single_submetric,0.011864773396934782,0.011727127246558666,0.1082918614049951,-0.2608293294906616,0.014177375100553035,0.013752784579992294,0.1172722668834891,-0.03285384178161621,50.21393537521362,,,,
glot500_lm_probe_single_submetric_control1_avg_links_len_id_layer11,glot500,lm_probe,regression,True,1.0,11.0,avg_links_len,id,single_submetric,0.04025457160813468,0.04015647992491722,0.2003908179655875,-0.8087848424911499,0.05330351144075394,0.04906604811549187,0.22150857345821148,-0.32964277267456055,33.83306074142456,,,,
